id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
34781355,Newly renovated apartment in the heart of Munich,261196590,Dirk,,Maxvorstadt,48.15284,11.5696,Entire home/apt,70,3,1,2022-01-13,0.09,1,0,1,
35144421,Top Neubauapartment zum kleinen Preis!,205832270,K Eins Mysecondhome De,,Ramersdorf-Perlach,48.11174,11.617343,Entire home/apt,999,25,8,2021-09-19,0.19,33,0,0,
35152156,Wohnung in der Münchener Innenstadt,223541785,Julia,,Neuhausen-Nymphenburg,48.16035,11.54347,Entire home/apt,18,10,2,2021-09-19,0.12,1,0,0,
34798191,APARTMENT WITH HOLIDAY FEELING IN MUNICH,262369398,Roman,,Berg am Laim,48.13105,11.61718,Entire home/apt,96,2,11,2019-07-14,0.25,1,0,0,
35171203,"CHIC, CENTRAL APARTMENT NEXT TO ENGLISH GARDEN",264879416,Tanja,,Schwabing-Freimann,48.1595,11.58225,Entire home/apt,102,2,9,2021-08-29,0.21,1,0,0,
35213492,Schöne 1Z Wohnung in Englschalking,9307540,Vladimir,,Bogenhausen,48.15724,11.64806,Entire home/apt,60,1,11,2022-08-31,1.93,1,0,11,
34853535,Westendgirl,262755843,Christine,,Schwanthalerhöhe,48.13923,11.54296,Entire home/apt,90,3,5,2020-02-02,0.12,1,33,0,
34861094,Hotel Fidelio,172463689,Michele,,Ludwigsvorstadt-Isarvorstadt,48.13641,11.55692,Hotel room,70,1,74,2022-11-20,1.77,4,0,22,
35247633,SERVUS IN MUNICH!,265365870,Gertrud,,Ludwigsvorstadt-Isarvorstadt,48.1281,11.5712,Entire home/apt,84,2,10,2019-12-29,0.23,1,0,0,
34862344,Perfectly located Munich apartment on the river,55677509,Elias,,Au-Haidhausen,48.125,11.5787,Entire home/apt,246,3,5,2022-12-10,0.12,1,0,4,
35249362,Our favourite. young and bavarian.,243104161,Alexandra,,Tudering-Riem,48.1411,11.68077,Hotel room,571,1,4,2022-12-07,0.62,5,321,4,
